   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:276(_optimize_charset)
     33/9    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:174(getwidth)
       21    0.000    0.000    0.002    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:549(_tokenize_words)
       14    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:396(__init__)
       14    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:600(_first_pass_annotation)
      186    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:249(match)
       27    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:295(_class_escape)
        4    0.000    0.000    0.003    0.001 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:759(compile)
       14    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1520(_second_pass_annotation)
      120    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:160(__len__)
        7    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       17    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:249(_compile_charset)
       32    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:224(__init__)
       66    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:172(append)
        4    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:536(_compile_info)
        7    0.000    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1375(text_contains_sentbreak)
       63    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:111(__init__)
       21    0.000    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1510(_annotate_second_pass)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:471(find)
       62    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:286(tell)
        5    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1603(_ortho_heuristic)
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:413(<listcomp>)
       28    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:315(_compile_repl)
        4    0.000    0.000    0.002    0.001 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:937(parse)
       21    0.000    0.000    0.003    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:579(_annotate_first_pass)
       25    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:953(__and__)
       45    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:411(_mk_bitmap)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.002    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:245(_word_tokenizer_re)
       14    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:419(_get_type)
       22    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:168(__setitem__)
       12    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:334(__call__)
       16    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:993(_decompose)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        7    0.000    0.000    0.002    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:261(word_tokenize)
       14    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:460(is_ellipsis)
       12    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:646(__new__)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:914(_create_pseudo_member_)
        6    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:432(_uniq)
        2    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:221(_re_non_word_chars)
        4    0.000    0.000    0.001    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:598(_code)
      4/3    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:461(_get_literal_prefix)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:423(type_no_period)
        2    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:947(__or__)
        1    0.000    0.000    0.008    0.008 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:857(_open)
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\genericpath.py:27(isfile)
       10    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:442(first_upper)
        7    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:267(getuntil)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:84(opengroup)
        7    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1411(_annotate_tokens)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\nturl2path.py:8(url2pathname)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\cProfile.py:117(__exit__)
       18    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:81(groups)
       12    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\types.py:171(__get__)
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\genericpath.py:39(isdir)
        3    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:492(_get_charset_prefix)
       30    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:921(fix_flags)
        4    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:76(__init__)
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        7    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:470(is_initial)
        7    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:77(join)
        5    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_parse.py:96(closegroup)
        1    0.000    0.000    0.007    0.007 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:324(open)
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\frame.py:1352(__len__)
        1    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_datetime_array}
       12    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:432(type_no_sentperiod)
        8    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:595(isstring)
       10    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:414(<genexpr>)
        5    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:447(first_lower)
        3    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:270(escape)
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:2389(_is_all_dates)
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:303(__init__)
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:524(abspath)
       12    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:768(value)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:904(_missing_)
        2    0.000    0.000    0.003    0.001 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:250(compile)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\compat.py:39(_decorator)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:188(match)
        2    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\genericpath.py:16(exists)
        7    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        7    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\sre_compile.py:453(_get_iscased)
       10    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\blocks.py:344(dtype)
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:206(_re_sent_end_chars)
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:410(__iter__)
        3    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
        5    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\urllib\parse.py:642(unquote)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFE2355C60}
        3    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\enum.py:1016(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexes\base.py:4379(_values)
        1    0.000    0.000    0.000    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:200(__setstate__)
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
